Date,Open,High,Low,Close,Volume,Adj Close
29-04-2008,5092.399902,5210.899902,5082.149902,5195.5,0,5195.5
28-04-2008,5112.5,5147.450195,5079.149902,5089.649902,0,5089.649902
25-04-2008,4999.149902,5117.700195,4999.149902,5111.700195,0,5111.700195
24-04-2008,5022.899902,5072.700195,4991.350098,4999.850098,0,4999.850098
23-04-2008,5044.350098,5083.5,5003.549805,5022.799805,0,5022.799805
22-04-2008,5037.049805,5074.25,4994.049805,5049.299805,0,5049.299805
21-04-2008,4955.899902,5053.399902,4955.899902,5037,0,5037
17-04-2008,4890.600098,4984.950195,4889.649902,4958.399902,0,4958.399902
16-04-2008,4881.649902,4951.399902,4874.049805,4887.299805,0,4887.299805
15-04-2008,4779.950195,4917.100098,4708.299805,4879.649902,0,4879.649902
11-04-2008,4734.350098,4817.399902,4727.25,4777.799805,0,4777.799805
10-04-2008,4747.549805,4799.5,4720.899902,4733,0,4733
09-04-2008,4707.049805,4758.25,4667.5,4747.049805,0,4747.049805
08-04-2008,4760.649902,4769.549805,4677.799805,4709.649902,0,4709.649902
07-04-2008,4631.350098,4798.549805,4628.799805,4761.200195,0,4761.200195
04-04-2008,4766.700195,4791.700195,4632.700195,4647,0,4647
03-04-2008,4753.899902,4833.25,4738.200195,4771.600098,0,4771.600098
02-04-2008,4741.399902,4916.75,4741.399902,4754.200195,0,4754.200195
01-04-2008,4735.649902,4800.75,4628.75,4739.549805,0,4739.549805
31-03-2008,4942.149902,4947,4703.850098,4734.5,0,4734.5
28-03-2008,4830,4970.799805,4796.350098,4942,0,4942
27-03-2008,4828.799805,4863.75,4769.600098,4830.25,0,4830.25
26-03-2008,4878.700195,4912.299805,4808.649902,4828.850098,0,4828.850098
25-03-2008,4616.799805,4896.799805,4616.799805,4877.5,0,4877.5
24-03-2008,4576.799805,4649.450195,4539.799805,4609.850098,0,4609.850098
19-03-2008,4534.75,4718.399902,4533.899902,4573.950195,0,4573.950195
18-03-2008,4519.899902,4617.950195,4468.549805,4533,0,4533
17-03-2008,4745.450195,4745.450195,4482.100098,4503.100098,0,4503.100098
14-03-2008,4623.799805,4758.950195,4607.549805,4745.799805,0,4745.799805
13-03-2008,4868.700195,4868.799805,4580.149902,4623.600098,0,4623.600098
12-03-2008,4869.75,5019.200195,4854.75,4872,0,4872
11-03-2008,4796.299805,4888.5,4732.850098,4865.899902,0,4865.899902
10-03-2008,4767.799805,4814.950195,4620.5,4800.399902,0,4800.399902
07-03-2008,4918.299805,4918.299805,4672.25,4771.600098,0,4771.600098
05-03-2008,4866.850098,4936.75,4847.25,4921.399902,0,4921.399902
04-03-2008,4958.549805,4976.700195,4812.950195,4864.25,0,4864.25
03-03-2008,5222.799805,5222.799805,4936.049805,4953,0,4953
29-02-2008,5285,5290.799805,5098.350098,5223.5,0,5223.5
28-02-2008,5266.350098,5302.850098,5227.149902,5285.100098,0,5285.100098
27-02-2008,5271.399902,5368.149902,5249.75,5268.399902,0,5268.399902
26-02-2008,5200.799805,5281.200195,5200.799805,5270.049805,0,5270.049805
25-02-2008,5112.25,5212.350098,5055.149902,5200.700195,0,5200.700195
22-02-2008,5183.399902,5184,5092.799805,5110.75,0,5110.75
21-02-2008,5156.899902,5241.350098,5120.049805,5191.799805,0,5191.799805
20-02-2008,5267.149902,5267.149902,5116.299805,5154.450195,0,5154.450195
19-02-2008,5278.399902,5368.450195,5262,5280.799805,0,5280.799805
18-02-2008,5304.450195,5348.600098,5224,5276.899902,0,5276.899902
15-02-2008,5202.850098,5315.399902,5104.75,5302.899902,0,5302.899902
14-02-2008,4944.649902,5220.25,4944.649902,5202,0,5202
13-02-2008,4836.549805,4986.549805,4836.549805,4929.450195,0,4929.450195
12-02-2008,4877.850098,4949.600098,4820.450195,4838.25,0,4838.25
11-02-2008,5120.549805,5126.399902,4803.600098,4857,0,4857
08-02-2008,5132.100098,5173.850098,5034.25,5120.350098,0,5120.350098
07-02-2008,5322.549805,5344.600098,5113.850098,5133.25,0,5133.25
06-02-2008,5470.399902,5470.399902,5257.049805,5322.549805,0,5322.549805
05-02-2008,5463.75,5500.600098,5412.950195,5483.899902,0,5483.899902
04-02-2008,5315.549805,5545.200195,5315.549805,5463.5,0,5463.5
01-02-2008,5140.600098,5339.950195,5090.75,5317.25,0,5317.25
31-01-2008,5172.25,5251.649902,5071.149902,5137.450195,0,5137.450195
30-01-2008,5283.75,5314.299805,5142.25,5167.600098,0,5167.600098
29-01-2008,5279.549805,5391.600098,5225.25,5280.799805,0,5280.799805
28-01-2008,5380.950195,5380.950195,5071,5274.100098,0,5274.100098
25-01-2008,5035.049805,5399.25,5035.049805,5383.350098,0,5383.350098
24-01-2008,5208,5357.200195,4995.799805,5033.450195,0,5033.450195
23-01-2008,4903.049805,5328.049805,4891.600098,5203.399902,0,5203.399902
22-01-2008,5203.350098,5203.350098,4448.5,4899.299805,0,4899.299805
21-01-2008,5705,5705,4977.100098,5208.799805,0,5208.799805
18-01-2008,5907.75,5908.75,5677,5705.299805,0,5705.299805
17-01-2008,5937.950195,6013.149902,5880.299805,5913.200195,0,5913.200195
16-01-2008,6065,6065,5825.75,5935.75,0,5935.75
15-01-2008,6226.350098,6260.450195,6053.299805,6074.25,0,6074.25
14-01-2008,6208.799805,6244.149902,6172,6206.799805,0,6206.799805
11-01-2008,6166.649902,6224.200195,6112.549805,6200.100098,0,6200.100098
10-01-2008,6278.100098,6347,6142.899902,6156.950195,0,6156.950195
09-01-2008,6287.549805,6338.299805,6231.25,6272,0,6272
08-01-2008,6282.450195,6357.100098,6221.600098,6287.850098,0,6287.850098
07-01-2008,6271,6289.799805,6193.350098,6279.100098,0,6279.100098
04-01-2008,6179.100098,6300.049805,6179.100098,6274.299805,0,6274.299805
03-01-2008,6184.25,6230.149902,6126.399902,6178.549805,0,6178.549805
02-01-2008,6144.700195,6197,6060.850098,6179.399902,0,6179.399902
01-01-2008,6136.75,6165.350098,6109.850098,6144.350098,0,6144.350098
31-12-2007,6095,6167.75,6095,6138.600098,0,6138.600098
28-12-2007,6079.549805,6098.600098,6021.899902,6079.700195,0,6079.700195
27-12-2007,6069,6110.850098,6060.200195,6081.5,0,6081.5
26-12-2007,5988.450195,6085.25,5988.450195,6070.75,0,6070.75
24-12-2007,5771.299805,6001.049805,5771.299805,5985.100098,0,5985.100098
20-12-2007,5751.75,5799.5,5742.75,5766.5,0,5766.5
19-12-2007,5730.25,5840.799805,5676.700195,5751.149902,0,5751.149902
18-12-2007,5777.600098,5874.600098,5710.600098,5742.299805,0,5742.299805
17-12-2007,6037.950195,6039.950195,5740.600098,5777,0,5777
14-12-2007,6056.200195,6078.549805,6015.049805,6047.700195,0,6047.700195
13-12-2007,6159.25,6185.399902,6040.399902,6058.100098,0,6058.100098
12-12-2007,6067.049805,6175.649902,6005.450195,6159.299805,0,6159.299805
11-12-2007,5960.399902,6111.200195,5960.399902,6097.25,0,6097.25
10-12-2007,5974,6015.299805,5923.350098,5960.600098,0,5960.600098
07-12-2007,5963.600098,6042.100098,5894.799805,5974.299805,0,5974.299805
06-12-2007,5941.049805,6027.049805,5919.799805,5954.700195,0,5954.700195
05-12-2007,5861.899902,5949.299805,5859.950195,5940,0,5940
04-12-2007,5870.200195,5897.25,5840.299805,5858.350098,0,5858.350098
03-12-2007,5765.450195,5878.799805,5754.600098,5865,0,5865
30-11-2007,5633.899902,5782.549805,5632.649902,5762.75,0,5762.75
29-11-2007,5617.799805,5725,5612.100098,5634.600098,0,5634.600098
28-11-2007,5699.549805,5749.950195,5595.5,5617.549805,0,5617.549805
27-11-2007,5729.25,5743.549805,5655.600098,5698.149902,0,5698.149902
26-11-2007,5611.299805,5772.549805,5608.950195,5731.700195,0,5731.700195
23-11-2007,5524.299805,5638.600098,5514.75,5608.600098,0,5608.600098
22-11-2007,5564.649902,5608.649902,5394.350098,5519.350098,0,5519.350098
21-11-2007,5778.799805,5790.049805,5530.850098,5561.049805,0,5561.049805
20-11-2007,5911.25,5923.700195,5755.799805,5780.899902,0,5780.899902
19-11-2007,5908.049805,5981.799805,5893.799805,5907.649902,0,5907.649902
16-11-2007,5913.149902,5948.049805,5817.399902,5906.850098,0,5906.850098
15-11-2007,5942.700195,5966.950195,5895.649902,5912.100098,0,5912.100098
14-11-2007,5703.950195,5950.200195,5700.049805,5937.899902,0,5937.899902
13-11-2007,5612.350098,5758.850098,5591.600098,5695.399902,0,5695.399902
12-11-2007,5660.600098,5660.600098,5477.5,5617.100098,0,5617.100098
09-11-2007,5703.450195,5794.200195,5614.899902,5663.25,0,5663.25
08-11-2007,5779.299805,5780.799805,5646.75,5698.75,0,5698.75
07-11-2007,5782.399902,5861.350098,5744.299805,5782.350098,0,5782.350098
06-11-2007,5847.100098,5957.200195,5759.950195,5786.5,0,5786.5
05-11-2007,5931.899902,5948.549805,5819.600098,5847.299805,0,5847.299805
02-11-2007,5854.850098,5944.75,5714.25,5932.399902,0,5932.399902
01-11-2007,5903.799805,6011.950195,5837.200195,5866.450195,0,5866.450195
31-10-2007,5868.899902,5952.25,5861.299805,5900.649902,0,5900.649902
30-10-2007,5917.549805,5976,5833.899902,5868.75,0,5868.75
29-10-2007,5708.899902,5922.5,5708.899902,5905.899902,0,5905.899902
26-10-2007,5564.25,5716.899902,5513.350098,5702.299805,0,5702.299805
25-10-2007,5499.049805,5605.950195,5469.299805,5568.950195,0,5568.950195
24-10-2007,5477.600098,5577.899902,5419.399902,5496.149902,0,5496.149902
23-10-2007,5185.299805,5488.5,5176.850098,5473.700195,0,5473.700195
22-10-2007,5202.75,5247.399902,5070.899902,5184,0,5184
19-10-2007,5360.350098,5390.850098,5101.75,5215.299805,0,5215.299805
18-10-2007,5551.100098,5736.799805,5269.649902,5351,0,5351
17-10-2007,5658.899902,5658.899902,5107.299805,5559.299805,0,5559.299805
16-10-2007,5670.649902,5708.350098,5578.450195,5668.049805,0,5668.049805
15-10-2007,5428.350098,5682.649902,5419.899902,5670.399902,0,5670.399902
12-10-2007,5525.299805,5549.299805,5402.600098,5428.25,0,5428.25
11-10-2007,5438.899902,5532.75,5424.25,5524.850098,0,5524.850098
10-10-2007,5328.149902,5454.700195,5328.149902,5441.450195,0,5441.450195
09-10-2007,5062.649902,5348.700195,5000.950195,5327.25,0,5327.25
08-10-2007,5186.25,5249.299805,5024.75,5085.100098,0,5085.100098
05-10-2007,5208.149902,5248.549805,5164.5,5185.850098,0,5185.850098
04-10-2007,5211.649902,5233.100098,5126.049805,5208.649902,0,5208.649902
03-10-2007,5069,5261.350098,5034.149902,5210.799805,0,5210.799805
01-10-2007,5021.5,5089.299805,5001.350098,5068.950195,0,5068.950195
28-09-2007,4996.450195,5055.799805,4996.450195,5021.350098,0,5021.350098
27-09-2007,4942.700195,5016.399902,4942.700195,5000.549805,0,5000.549805
26-09-2007,4937.600098,4980.850098,4930.350098,4940.5,0,4940.5
25-09-2007,4939.100098,4953.899902,4878.149902,4938.850098,0,4938.850098
24-09-2007,4837.149902,4941.149902,4837.149902,4932.200195,0,4932.200195
21-09-2007,4752.950195,4855.700195,4733.700195,4837.549805,0,4837.549805
20-09-2007,4734.850098,4760.850098,4721.149902,4747.549805,0,4747.549805
19-09-2007,4550.25,4739,4550.25,4732.350098,0,4732.350098
18-09-2007,4494.100098,4551.799805,4481.549805,4546.200195,0,4546.200195
17-09-2007,4518.450195,4549.049805,4482.850098,4494.649902,0,4494.649902
